Plot,Trt,TPA_2020,BA_2020,QMD_2020,BEST_Treat,FuelLoading_2020
25,Control,70,97.29151591,15.96338273,NA,6.19875
26,Control,130,78.00712738,10.48894789,NA,0.63
27,Control,80,67.36757844,12.42558761,NA,3.69
28,Control,60,84.34716673,16.05447416,NA,0.855
29,Control,200,201.2418696,13.58252881,NA,0.45
30,Control,100,81.33637718,12.21177724,NA,3.27375
31,Control,240,195.1617891,12.21035345,NA,0.34875
32,Control,110,192.5838457,17.91637096,NA,0.66375
33,Control,240,179.7188727,11.71730361,NA,0.6525
34,Control,180,113.5646922,10.75528375,NA,0.4725
35,Control,90,91.23443022,13.633099,NA,0.30375
36,Control,20,28.90808583,16.27912774,NA,0.5175
37,Control,70,115.7196097,17.40968532,NA,0.4725
38,Control,90,158.5494134,17.9720462,NA,0.45
39,90BA,80,78.61910878,13.42318346,90_BA,4.1175
40,90BA,330,189.4351333,10.25911162,90_BA,0.77625
42,90BA,100,106.764758,13.99105362,90_BA,0.75375
43,90BA,40,67.98015158,17.65214677,90_BA,0.68625
44,90BA,170,134.8098052,12.05792952,90_BA,0.9
45,90BA,140,177.5061385,15.24681503,90_BA,0.3825
46,70BA,50,77.97136718,16.9090432,90_BA,0.23625
47,70BA,70,116.0786431,17.43667218,70_BA,1.56375
48,70BA,80,98.13674178,14.99709992,70_BA,0.25875
49,70BA,130,98.42375335,11.7818841,70_BA,0.39375
50,70BA,70,95.63293557,15.82672968,70_BA,1.40625
51,70BA,130,181.0923039,15.98139854,70_BA,1.40625
52,70BA,100,129.824004,15.42815385,70_BA,0.55125
53,70BA,40,53.29090727,15.6290659,70_BA,15.7275
54,70BA,190,168.8608763,12.76509878,70_BA,11.79
55,70BA,130,94.7286166,11.55860393,70_BA,0.36
56,70BA,280,167.9689001,10.48749785,70_BA,9.4725
57,70BA,50,85.43755712,17.70010612,70_BA,5.451428571
58,70BA,130,162.8813133,15.15655208,70_BA,4.62375
59,70BA,90,148.2514157,17.37859375,70_BA,1.2375
60,90BA,260,259.0017881,13.5145369,90_BA,1.06875
62,90BA,280,206.3281037,11.62349248,90_BA,4.75875
63,90BA,100,99.94351982,13.53673046,90_BA,10.1025
64,90BA,60,94.7484834,17.01558832,90_BA,6.58125
65,90BA,60,97.21931917,17.23602533,90_BA,0.81
66,90BA,60,94.46637508,16.99023795,90_BA,1.90125
