"Plot","Trt.x","TPA","BA","QMD","Trt.y","FuelLoading"
25,"Ctrl",30,54.797299635,18.300182148456,"Control",1.81
26,"Ctrl",200,115.59743676,10.2942702509697,"Control",1.23
27,"Ctrl",90,79.44623973,12.7218971331585,"Control",5.025
28,"Ctrl",30,37.81144029,15.2015350102109,"Control",1.695
29,"Ctrl",200,187.437864315,13.1084133288511,"Control",7.4075
30,"Ctrl",100,98.32414371,13.4266153590546,"Control",3.47
31,"Ctrl",170,110.63416026,10.9233694435371,"Control",8.1475
32,"Ctrl",80,150.55853826,18.5756561122346,"Control",10.34
33,"Ctrl",200,160.176931785,12.1177349368601,"Control",8.7225
34,"Ctrl",170,119.447521245,11.3501230882157,"Control",9.3275
35,"Ctrl",60,38.845001715,10.8950294477191,"Control",9.0375
36,"Ctrl",30,29.66512185,13.4647688431699,"Control",11.455
37,"Ctrl",60,76.74207216,15.3136105039493,"Control",13.23
38,"Ctrl",60,109.156631025,18.2635794228112,"Control",13.0425
39,"90BA",70,75.129280005,14.0278804019506,"90BA",5.2
40,"90BA",170,119.016643395,11.3296331906772,"90BA",0.8375
41,"90BA",90,123.55067829,15.8649158697913,"90BA",0.5325
42,"90BA",50,42.7059945,12.5139921687685,"90BA",1.2075
43,"90BA",30,67.66745739,20.3360107526853,"90BA",0.3475
44,"90BA",50,43.36158333,12.6096788222381,"90BA",2.8125
45,"90BA",90,111.69662868,15.0846500346102,"90BA",0.4375
46,"70BA",50,78.722474025,16.9902913453537,"70BA",3.3275
47,"90BA",30,70.46216385,20.751706757116,"70BA",0.5075
48,"70BA",30,49.84329519,17.4533664374527,"70BA",1.3125
49,"70BA",40,44.768208615,14.3248909245411,"70BA",0.84
50,"70BA",20,36.48608184,18.2887943834469,"70BA",0.05
51,"70BA",50,101.21920653,19.2656170417664,"70BA",0.57
52,"70BA",20,61.84787934,23.8113418353523,"70BA",0.915
53,"70BA",20,15.21926016,11.8118584481867,"70BA",5.5175
54,"70BA",110,81.848792805,11.6800918427273,"70BA",8.105
55,"70BA",60,48.783553845,12.209490843875,"70BA",5.39
56,"70BA",200,140.920509795,11.3660239309972,"70BA",8.2725
57,"70BA",60,85.35417501,16.150025799773,"70BA",10.4
58,"70BA",100,150.059483535,16.5870129920972,"70BA",13.165
59,"70BA",50,102.7780026,19.4133974357916,"70BA",6.775
60,"90BA",10,27.85761654,22.6,"90BA",1.2475
61,"90BA",40,36.77297013,12.9828733337424,"90BA",2.5825
62,"90BA",140,98.491586115,11.3572192270568,"90BA",2.0675
63,"90BA",10,15.577597815,16.9,"90BA",6.105
64,"90BA",50,83.031252525,17.449068743059,"90BA",0.87
65,"90BA",40,88.416680235,20.1313809759788,"90BA",1.445
66,"90BA",20,27.175302375,15.7836941176646,"90BA",0.5675
