ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,RegenPlot,BEST_Treat,Proporation of Regen Plot Sampled,Species,HeightClass,DecayClass,Damage Code,Damage Agent,Total Count,total_seed_count,seed_density,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
991,9b543e63-f468-43fc-8d99-738c481466ee,LonePine,Pre,LTR,No,BEST,,39,15m,90_BA,1,AMAL2,B,L,,,97,97,9700,,293b2Bb-8319-A65-a136-896e6bb1b9c0,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell
989,f7a8bb69-b140-4a52-9c9e-2810b3542649,LonePine,Pre,LTR,No,BEST,,39,15m,90_BA,1,QUGA,B,L,,,42,42,4200,,293b2Bb-8319-A65-a136-896e6bb1b9c0,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell
990,51f24fc3-614f-4bfc-acc3-4ad97299f2f4,LonePine,Pre,LTR,No,BEST,,39,15m,90_BA,1,QUGA,A,L,,,13,13,1300,,293b2Bb-8319-A65-a136-896e6bb1b9c0,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell
1082,4f6d1cb0-632b-4ce5-97e6-da18d0a1d758,LonePine,Pre,LTR,No,BEST,,40,15m,90_BA,1,AMAL2,B,L,,,32,32,3200,,1b583471-fdb4-4c82-92a0-0330c396b36d,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell
1083,f70ed4b5-a215-482b-a440-9f0d78bab282,LonePine,Pre,LTR,No,BEST,,40,15m,90_BA,1,QUGA,B,L,,,41,41,4100,,1b583471-fdb4-4c82-92a0-0330c396b36d,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell
1084,afb10f47-fc1d-A81-aef5-f84f4ad49176,LonePine,Pre,LTR,No,BEST,,40,15m,90_BA,1,AMAL2,A,L,,,9,9,900,,1b583471-fdb4-4c82-92a0-0330c396b36d,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell
1081,7c9eaf9c-ca8c-4aeb-a646-08a678dfaac5,LonePine,Pre,LTR,No,BEST,,40,15m,90_BA,1,PIPO,A,L,,,3,3,300,,1b583471-fdb4-4c82-92a0-0330c396b36d,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell
1081,7c9eaf9c-ca8c-4aeb-a646-08a678dfaac5,LonePine,Pre,LTR,No,BEST,,40,15m,90_BA,1,PIPO,A,L,,,3,3,300,,1b583471-fdb4-4c82-92a0-0330c396b36d,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell
1087,4b9f665b-3bdc-4123-8c5f-0abb985f24db,LonePine,Pre,LTR,No,BEST,,41,15m,90_BA,1,AMAL2,B,L,,,6,6,600,,34ccd90d-b8a3-4863-ac57-22e022fa90A,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell
1085,381fc275-abbd-4384-9e22-2147a1c0a5ed,LonePine,Pre,LTR,No,BEST,,41,15m,90_BA,1,QUGA,B,L,,,12,12,1200,,34ccd90d-b8a3-4863-ac57-22e022fa90A,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell
