ObjectID,GlobalID,quadphotos_VisitCode,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,Unit_Plot,BEST_Treat,Species,StartCM,EndCM,Length_m,HeightClass,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,,,
2176,6be8493a-c380-45fe-971d-620352aa8b20,33,LonePine,Pre,Control,Yes,BEST,,33,BEST33,NA,QUGA,1572,2456,8.84,a,,8177f26d-c120-4905-9637-ca62321d51f1,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,1863,CHECK
4817,c8911169-0ad3-4714-a5c0-1324cc498583,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,593,1300,7.07,a,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,1300,CHECK
2160,e35cd1a2-56c6-4f23-a324-1b8cbe8fdcc8,33,LonePine,Pre,Control,Yes,BEST,,33,BEST33,NA,QUGA,0,637,6.37,a,,8177f26d-c120-4905-9637-ca62321d51f1,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,-2215,NA
1868,e5b2d236-3682-47e9-9951-4f0dfe9acbcc,25,LonePine,Pre,Control,Yes,BEST,,25,BEST25,NA,SYRO,2852,2938,0.86,a,,a4681c68-32e3-48fb-8462-59abeff5f4a2,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1059,CHECK
2406,caad93f0-f821-4bc9-9302-ee7d8ab8f521,43,LonePine,Pre,LTR,No,BEST,,43,BEST43,90_BA,ROWO,1879,1881,0.02,a,,b4532570-5f43-4f61-aea4-23b33b21c383,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell,,1169,CHECK
1127,8794686a-172c-48a9-b099-c35557f72eb5,59,LonePine,Pre,LTR,Yes,BEST,,59,BEST59,70_BA,AMAL2,712,714,0.02,a,,34af3a7e-b209-4049-94db-b8feb6b8a18d,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,714,CHECK
2216,3485da57-57a1-4f52-aad7-5c54a839dd52,36,LonePine,Pre,Control,Yes,BEST,,36,BEST36,NA,QUGA,0,631,6.31,b,,c226d256-fb51-40f0-82c7-a6be17f1c973,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,-527,NA
1236,05abc833-7f91-485c-8fc7-ef52a190fc20,56,LonePine,Pre,LTR,Yes,BEST,,56,BEST56,70_BA,AMAL2,1158,1161,0.03,a,,824f0609-8a50-4016-8354-08ce2db21c3f,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,263,CHECK
1853,a01e28a0-1f60-4faa-bec5-fb7b4412fbb6,25,LonePine,Pre,Control,Yes,BEST,,25,BEST25,NA,QUGA,898,1472,5.74,b,,a4681c68-32e3-48fb-8462-59abeff5f4a2,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1472,CHECK
2232,84940a05-ade0-48dc-a086-a3d1b2664ee9,38,LonePine,Pre,Control,Yes,BEST,,38,BEST38,NA,QUGA,0,522,5.22,b,,19897315-9a51-4882-8350-e29b75e0ff1b,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,492,CHECK
