ObjectID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Species,Decay_Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter_Units,DBH,DBH_cm,Height_Units,Height,CBH,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,CreationDate,EditDate
974,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,19.60629921,49.8,ft,54.7,4,92.68738574,,,,7/23/2020 14:52,7/23/2020 14:52
986,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,19.60629921,49.8,ft,54.7,4,92.68738574,,,,7/23/2020 14:52,7/23/2020 14:52
967,LonePine,Pre,Control,Yes,Best,,28,NA,PIPO,M,I,BB,BPT,None,<half,cm,18.42519685,46.8,ft,48.6,,,,,,7/23/2020 14:52,7/23/2020 14:52
983,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,None,cm,6.732283465,17.1,ft,32.1,,,,,,7/23/2020 14:52,7/23/2020 14:52
995,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,None,cm,6.732283465,17.1,ft,32.1,,,,,,7/23/2020 14:52,7/23/2020 14:52
975,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,9.527559055,24.2,ft,44.8,,,,,,7/23/2020 14:52,7/23/2020 14:52
987,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,9.527559055,24.2,ft,44.8,,,,,,7/23/2020 14:52,7/23/2020 14:52
976,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,10.5511811,26.8,ft,25.3,,,,,,7/23/2020 14:52,7/23/2020 14:52
988,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,10.5511811,26.8,ft,25.3,,,,,,7/23/2020 14:52,7/23/2020 14:52
979,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,13.03149606,33.1,ft,42.1,,,,,,7/23/2020 14:52,7/23/2020 14:52
991,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,13.03149606,33.1,ft,42.1,,,,,,7/23/2020 14:52,7/23/2020 14:52
978,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,13.03149606,33.1,ft,53.8,,,,,,7/23/2020 14:52,7/23/2020 14:52
990,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,13.03149606,33.1,ft,53.8,,,,,,7/23/2020 14:52,7/23/2020 14:52
980,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,15.19685039,38.6,ft,48.4,,,,,,7/23/2020 14:52,7/23/2020 14:52
992,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,BPT,None,>half,cm,15.19685039,38.6,ft,48.4,,,,,,7/23/2020 14:52,7/23/2020 14:52
1296,LonePine,Pre,Control,Yes,lake_canyon,,34,NA,PIPO,D,I,BB,BPT,None,>half,cm,11.18110236,28.4,ft,47.9,,,,,,7/23/2020 14:52,7/23/2020 14:52
1321,LonePine,Pre,Control,Yes,lake_canyon,,35,NA,PIPO,M,I,BB,BPT,None,>half,cm,28.03149606,71.2,ft,76.8,,,,,,7/23/2020 14:52,7/23/2020 14:52
1166,LonePine,Pre,Control,Yes,lake_canyon,,38,NA,PIPO,M,I,BB,BPT,,<half,in,9.6,9.6,ft,64.9,,,,,,7/23/2020 14:52,7/23/2020 14:52
1404,LonePine,Pre,LTR,No,lake_canyon,,44,90_BA,PIPO,M,I,BB,BPT,None,>half,cm,17.16535433,43.6,ft,47.9,,,,,,7/23/2020 14:52,7/23/2020 14:52
924,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,M,I,BB,BPT,None,>half,cm,15.15748031,38.5,,54.5,,,,,,7/23/2020 14:52,7/23/2020 14:52
712,LonePine,Pre,STS,No,Bradfield,,55,70_BA,PIPO,L,I,BB,BPT,None,<half,cm,5.748031496,14.6,,29.7,,,,,,7/23/2020 14:52,7/23/2020 14:52
724,LonePine,Pre,LTR,No,Bradfield,,56,70_BA,PIPO,M,I,BB,BPT,,>half,cm,21.25984252,54,ft,45,6,86.66666667,,,,7/23/2020 14:52,7/23/2020 14:52
613,LonePine,Pre,LTR,No,Bradfield,,60,90_BA,PIPO,D,I,BB,BPT,None,>half,cm,9.645669291,24.5,,41.5,,,,,,7/23/2020 14:52,7/23/2020 14:52
648,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,BPT,None,>half,cm,9.842519685,25,,4.2,,,,,,7/23/2020 14:52,7/23/2020 14:52
637,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,BPT,None,>half,cm,14.92125984,37.9,,53.7,,,,,,7/23/2020 14:52,7/23/2020 14:52
659,LonePine,Pre,LTR,No,Bradfield,,63,90_BA,PIPO,M,I,BB,BPT,None,<half,cm,13.62204724,34.6,ft,75.2,25.8,65.69148936,,,,7/23/2020 14:52,7/23/2020 14:52
660,LonePine,Pre,LTR,No,Bradfield,,63,90_BA,PIPO,M,I,BB,BPT,None,>half,cm,0,,ft,66.6,12.5,81.23123123,,,,7/23/2020 14:52,7/23/2020 14:52
922,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,M,I,BB,BPT,None,>half,cm,20.23622047,51.4,,73.3,,,,,,7/23/2020 14:52,7/23/2020 14:52
1023,LonePine,Pre,Control,Yes,Best,,25,NA,PIPO,D,I,BB,D,None,None,cm,5.62992126,14.3,ft,28.1,,,,,,7/23/2020 14:52,7/23/2020 14:52
1024,LonePine,Pre,Control,Yes,Best,,25,NA,PIPO,L,,,D,None,>half,cm,9.527559055,24.2,ft,30.6,,,,,,7/23/2020 14:51,7/23/2020 14:51
1303,LonePine,Pre,Control,Yes,lake_canyon,,34,NA,PIPO,D,D,BB,D,None,<half,cm,6.338582677,16.1,ft,23.4,,,,,,7/23/2020 14:51,7/23/2020 14:51
1295,LonePine,Pre,Control,Yes,lake_canyon,,34,NA,PIPO,D,I,BB,D,None,>half,cm,11.49606299,29.2,ft,54.6,,,,,Fader,7/23/2020 14:51,7/23/2020 14:51
1297,LonePine,Pre,Control,Yes,lake_canyon,,34,NA,PIPO,D,I,BB,D,None,>half,cm,15.66929134,39.8,ft,77.6,,,,,,7/23/2020 14:51,7/23/2020 14:51
1294,LonePine,Pre,Control,Yes,lake_canyon,,34,NA,PIPO,D,I,BB,D,None,>half,cm,16.49606299,41.9,ft,57.1,,,,,,7/23/2020 14:51,7/23/2020 14:51
1299,LonePine,Pre,Control,Yes,lake_canyon,,34,NA,PIPO,D,I,BB,D,None,>half,,0,,ft,67.5,,,,,,7/23/2020 14:51,7/23/2020 14:51
1300,LonePine,Pre,Control,Yes,lake_canyon,,34,NA,PIPO,D,I,BB,D,None,>half,,0,,ft,56.8,,,,,,7/23/2020 14:51,7/23/2020 14:51
731,LonePine,Pre,LTR,No,Bradfield,,56,70_BA,PIPO,D,I,BB,D,None,<half,cm,12.79527559,32.5,ft,63.5,31.6,50.23622047,,,,7/23/2020 14:51,7/23/2020 14:51
688,LonePine,Pre,LTR,No,Bradfield,,59,70_BA,PIPO,D,I,BB,D,None,<half,cm,12.08661417,30.7,ft,48.6,,,,,,7/23/2020 14:51,7/23/2020 14:51
686,LonePine,Pre,LTR,No,Bradfield,,59,70_BA,PIPO,D,I,BB,D,None,>half,cm,13.97637795,35.5,ft,49.1,,,,,,7/23/2020 14:51,7/23/2020 14:51
614,LonePine,Pre,LTR,No,Bradfield,,60,90_BA,PIPO,D,I,BB,D,None,>half,cm,7.992125984,20.3,,78.5,,,,,,7/23/2020 14:51,7/23/2020 14:51
616,LonePine,Pre,LTR,No,Bradfield,,60,90_BA,PIPO,D,I,BB,D,None,>half,cm,9.606299213,24.4,,46.6,,,,,,7/23/2020 14:51,7/23/2020 14:51
615,LonePine,Pre,LTR,No,Bradfield,,60,90_BA,PIPO,D,I,BB,D,None,>half,cm,11.61417323,29.5,,54.4,,,,,,7/23/2020 14:51,7/23/2020 14:51
617,LonePine,Pre,LTR,No,Bradfield,,60,90_BA,PIPO,D,I,BB,D,None,>half,cm,12.5984252,32,,42.7,,,,,,7/23/2020 14:51,7/23/2020 14:51
620,LonePine,Pre,LTR,No,Bradfield,,60,90_BA,PIPO,D,I,BB,D,None,>half,cm,22.08661417,56.1,,71.4,,,,,,7/23/2020 14:51,7/23/2020 14:51
638,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,D,None,>half,cm,6.732283465,17.1,,26,10,61.53846154,,,,7/23/2020 14:51,7/23/2020 14:51
640,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,D,None,,cm,12.20472441,31,,48.8,,,,,,7/23/2020 14:51,7/23/2020 14:51
634,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,D,None,>half,cm,12.44094488,31.6,,49.2,,,,,,7/23/2020 14:51,7/23/2020 14:51
636,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,D,None,>half,cm,15.98425197,40.6,,55,,,,,,7/23/2020 14:51,7/23/2020 14:51
635,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,D,None,>half,cm,16.25984252,41.3,,50,,,,,,7/23/2020 14:51,7/23/2020 14:51
641,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,PIPO,D,I,BB,D,None,>half,cm,18.97637795,48.2,,62,,,,,,7/23/2020 14:51,7/23/2020 14:51
1022,LonePine,Pre,Control,Yes,Best,,25,NA,PIPO,D,I,BB,D,None,>half,cm,13.93700787,35.4,ft,55.5,,,,,,7/23/2020 14:51,7/23/2020 14:51
1019,LonePine,Pre,Control,Yes,Best,,25,NA,PIPO,D,I,BB,D,None,>half,cm,20.39370079,51.8,ft,64.8,,,,,,7/23/2020 14:51,7/23/2020 14:51
1025,LonePine,Pre,Control,Yes,Best,,25,NA,PIPO,D,I,BB,D,None,>half,cm,21.02362205,53.4,ft,52.9,,,,,,7/23/2020 14:51,7/23/2020 14:51
955,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,D,I,BB,D,None,>half,cm,14.64566929,37.2,ft,49.3,,,,,,7/23/2020 14:51,7/23/2020 14:51
711,LonePine,Pre,STS,No,Bradfield,,55,70_BA,PIPO,D,I,BB,D,None,>half,cm,8.267716535,21,,19.5,,,,,,7/23/2020 14:51,7/23/2020 14:51
1020,LonePine,Pre,Control,Yes,Best,,25,NA,PIPO,L,,,G,None,>half,cm,15.19685039,38.6,ft,56.9,30.9,45.69420035,,,,7/23/2020 14:51,7/23/2020 14:51
1021,LonePine,Pre,Control,Yes,Best,,25,NA,PIPO,L,,,G,None,None,cm,19.4488189,49.4,ft,62.1,12.5,79.87117552,,,,7/23/2020 14:51,7/23/2020 14:51
1008,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,>half,cm,5.196850394,13.2,ft,17.5,11.8,32.57142857,,,,7/23/2020 14:51,7/23/2020 14:51
1017,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,<half,cm,8.464566929,21.5,ft,47.9,22.2,53.65344468,,,,7/23/2020 14:51,7/23/2020 14:51
1011,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,<half,cm,8.74015748,22.2,ft,44,13.6,69.09090909,,,,7/23/2020 14:51,7/23/2020 14:51
1012,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,>half,cm,10.07874016,25.6,ft,45.2,14.8,67.25663717,,,,7/23/2020 14:51,7/23/2020 14:51
1016,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,<half,cm,11.37795276,28.9,ft,50.1,19.6,60.87824351,,,,7/23/2020 14:51,7/23/2020 14:51
1007,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,>half,cm,12.48031496,31.7,ft,26.5,3,88.67924528,,,,7/23/2020 14:51,7/23/2020 14:51
1018,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,>half,cm,13.11023622,33.3,ft,28.6,18.9,33.91608392,,,,7/23/2020 14:51,7/23/2020 14:51
1010,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,>half,cm,13.42519685,34.1,ft,51.8,30.6,40.92664093,,,,7/23/2020 14:51,7/23/2020 14:51
1005,LonePine,Pre,Control,Yes,Best,,26,NA,PIPO,L,,,G,None,<half,cm,15.59055118,39.6,ft,48.5,25.5,47.42268041,,,,7/23/2020 14:51,7/23/2020 14:51
