ObjectID,GlobalID,VisitCode_Quadrat,Location of Quadrat,quadphotos_VisitCode,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,BareGround,LitterDuff,Gravel,Rock,LichenMoss,WoodyBasal,FWD,CWD,Column1,Total Ground Cover,Graminoid Cover,Forb Cover,Shrub Cover,Seedling Cover,hr1,hr10,hr100,ParentGlobalID,CreationDate,Creator,EditDate,Editor
27,721b0539-bb59-44dc-aaf7-e9bce5a136c9,1.Pre,,1.Pre,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
174,25d5561e-69a8-48e9-a6a3-536738fd44ec,2.Pre,,2.Pre,LonePine,Pre,STS,Yes,wolf_den,,2,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/2020 3:54,MSI.forest,7/17/2020 3:54,MSI.forest
175,a215bc53-a4f5-4b45-b221-2f25f94c1804,3.Pre,,3.Pre,LonePine,Pre,Control,Yes,wolf_den,,3,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,e595cf3d-4895-4997-9030-fd605fda3535,7/17/2020 3:54,MSI.forest,7/17/2020 3:54,MSI.forest
176,9ff206f3-5f91-4561-b0ed-15a298198964,4.Pre,,4.Pre,LonePine,Pre,Control,Yes,wolf_den,,4,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,afbea20b-6deb-46f1-bd72-dffe56bedfe1,7/17/2020 3:54,MSI.forest,7/17/2020 3:54,MSI.forest
39,6de73c11-4e07-4c90-a9a3-df5e51c896e1,5.Pre,,5.Pre,LonePine,Pre,Control,Yes,Wolf_den,,5,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,fa9b7ea6-60a8-4ac9-a1f7-e0b515730b9a,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
37,d6692e47-bdd1-4b3d-9d47-a325c2429123,6.Pre,,6.Pre,LonePine,Pre,Control,Yes,wolf_den,,6,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,85e17d2f-c8ca-4e5a-bde4-508067f883bb,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
28,ffd65f65-42cf-4a02-975b-8e8a681fa3b9,7.Pre,,7.Pre,LonePine,Pre,Control,Yes,Wolf_den,,7,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,eaeb12a0-4361-473e-9095-3210cfe997ed,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
38,b58349b6-e207-48a5-b12e-e0f10e687e40,8.Pre,,8.Pre,LonePine,Pre,Control,Yes,Wolf_den,,8,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,b2d25bca-ecb6-439f-9c1c-102b64a8f0fa,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
1087,b85a9715-02ef-43fa-83c1-98d6a51f2a29,9.Pre,,9.Pre,LonePine,Pre,Control,Yes,fader,,9,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,3185b2bb-7678-47b3-905d-5caedbab343d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
1078,66576b34-4970-4615-9b08-4bef6316d2e5,10.Pre,,10.Pre,LonePine,Pre,Control,Yes,fader,,10,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,844821e2-2ce5-430e-9199-d7a797ff9f5d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
1073,24344c60-892a-4b72-9db5-0938eded5f4a,11.Pre,,11.Pre,LonePine,Pre,Control,Yes,fader,,11,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,aa212a85-3221-4609-865c-aa79a9be723d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
580,e7a103b5-8ff2-4bfa-8590-678070a9aa3a,11.Rx,,11.Rx,LonePine,Rx,Control,No,brenna_project,DOLC_1_1,11,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,4006042f-95a1-4ebe-88d2-9a58f69c2e24,8/11/2020 2:26,MSI.swindell,8/11/2020 2:26,MSI.swindell
1068,81066833-7447-49ea-97e8-b403eb455f0a,12.Pre,,12.Pre,LonePine,Pre,Control,Yes,fader,,12,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,1886c521-b12e-4026-b104-5cf6cc8b1ce8,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
579,89b34822-5229-445b-a4c1-1a297ba29a58,12.Rx,,12.Rx,LonePine,Rx,Control,No,brenna_project,DOLC_1_2,12,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,78a809f0-8ff8-4bae-9fe4-6da152168b7d,8/11/2020 2:26,MSI.swindell,8/11/2020 2:26,MSI.swindell
624,9c937de3-f59e-4282-943f-e10fc75d02a6,12.Rx,,12.Rx,LonePine,Rx,Control,No,brenna_project,DOLC_1_2,12,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,a96405f4-6cde-4b9e-89e8-af2dbc1aab1e,8/11/2020 13:26,MSI.swindell,8/11/2020 13:26,MSI.swindell
1102,8141dec9-53ff-4e1c-a03d-3bb00d38cfa1,13.Pre,,13.Pre,LonePine,Pre,Control,Yes,fader,,13,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,336a9ed9-3190-4454-90b3-1e235804942b,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
578,4367e70e-669b-49c5-a130-7df667e1f677,13.Rx,,13.Rx,LonePine,Rx,Control,No,brenna_project,DOLC_1_3,13,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,63b9f99f-6a7a-42c0-89c6-8ac0f6d69ea5,8/11/2020 2:26,MSI.swindell,8/11/2020 2:26,MSI.swindell
1103,d926bce7-9206-442e-9fa7-d2760b9716bd,14.Pre,,14.Pre,LonePine,Pre,Control,Yes,fader,,14,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,448cce2b-2033-4e54-8911-51fc9aa3423c,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
1101,8a07f86b-1bbc-4398-81bc-244dc1dba4a3,15.Pre,,15.Pre,LonePine,Pre,Control,Yes,fader,,15,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,13aab2ca-6348-480b-9e90-c30833581eed,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
1096,5750f032-f9c3-4095-a0e5-a80010c8be90,16.Pre,,16.Pre,LonePine,Pre,Control,Yes,fader,,16,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,234b812a-7fe2-4e0c-ac2d-36522077367d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
1222,f3321232-b05b-4fb4-944f-99ecca66f0ed,17.Pre,,17.Pre,LonePine,Pre,Control,Yes,Glade_canyon,,17,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,c3fe9821-b222-4cb3-b8ab-6b7a63f9c508,8/27/2020 18:36,MSI.swindell,8/27/2020 18:36,MSI.swindell
1231,5b463dd6-a0e2-4cd4-a70e-f0a8e2113581,18.Pre,,18.Pre,LonePine,Pre,Control,Yes,Glade_canyon,,18,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,bd39c9d9-c79d-4a04-be83-f711b60cdea7,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
1236,54dfb537-d81c-4f3a-999d-1868e4812a92,19.Pre,,19.Pre,LonePine,Pre,Control,Yes,Glade_canyon,,19,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,6923193f-9201-41cc-86c1-7a769818a5c5,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
1241,e6488ce8-f9fa-48d7-a77f-62da183fc286,20.Pre,,20.Pre,LonePine,Pre,Control,Yes,Glade_canyon,,20,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,a2ea41b6-4a72-411c-8783-68d026adba78,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
1273,58b67479-1723-47d8-8149-9b6bc23bd2cb,21.Pre,,21.Pre,LonePine,Pre,Control,Yes,Glade_canyon,,21,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,318cde9b-b213-4f68-961a-e8f37f758681,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
1282,65c4b630-4050-4012-8ed3-720ba54e3972,22.Pre,,22.Pre,LonePine,Pre,Control,Yes,glade_canyon,,22,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,71401a28-6f20-4d3c-8f83-d9c1b17a837b,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
1287,4ef99c9b-2028-4b28-a7f7-3e6dd1520f14,23.Pre,,23.Pre,LonePine,Pre,Control,Yes,Glade_canyon,,23,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,4b40c5a1-d485-4860-8357-0b523e5f59f6,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
1292,681892d6-8898-4f16-9e77-d7cfb5ac35b0,24.Pre,,24.Pre,LonePine,Pre,Control,Yes,Glade_canyon,,24,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,9dfcfd84-793c-4f90-bc45-873ab6745da2,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
1466,8bad0b26-0d1f-464e-a82c-008e828dd3a3,25.Pre,,25.Pre,LonePine,Pre,Control,Yes,BG,,25,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,608a4908-b3e1-46bd-99b1-4fe1bfed6451,9/14/2020 12:55,MSI.forest,9/14/2020 12:55,MSI.forest
1605,5dfdf31e-e393-4ce1-8a4b-a0d1f9788163,25.Pre,,25.Pre,LonePine,Pre,Control,Yes,Bg,,25,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,849ccc87-ea64-4b97-bad2-f9fb2114e313,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
1465,54c85def-a4dd-4417-9820-0887de827ac9,26.Pre,,26.Pre,LonePine,Pre,Control,Yes,BG,,26,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,47220246-2bb3-4bfe-827b-6b4d72c0c95c,9/14/2020 12:55,MSI.forest,9/14/2020 12:55,MSI.forest
1599,477a81a3-1de9-4600-bb85-8383f08dd5a7,26.Pre,,26.Pre,LonePine,Pre,Control,Yes,Bg,,26,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,3b565492-9218-45f4-a46f-473e8671546a,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
762,d98df163-fed1-438c-942a-39585c69cecd,68.Pre,7.5m,68.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,68,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,,0.2,ab359d8b-674d-4722-aa6d-694c6640d2cd,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
761,a84bae96-dd37-493a-b036-d1498430d857,68.Pre,22.5m,68.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,68,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.02,0.05,0.2,ab359d8b-674d-4722-aa6d-694c6640d2cd,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
760,7d40582b-1598-4a06-a3c1-fdece4b637f4,68.Pre,30m,68.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,68,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.02,0.5,0.4,ab359d8b-674d-4722-aa6d-694c6640d2cd,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
763,b8bfb439-388b-4227-bc29-258f564adbab,68.Pre,0m,68.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,68,NA,0,0,0,0,0,0,0,0,0,0,,,,,,0.03,0.4,ab359d8b-674d-4722-aa6d-694c6640d2cd,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
765,ae9a836e-f5ac-4c09-9fd3-f84793a548f9,69.Pre,7.5m,69.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,69,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,0.4,,0860a86f-ee11-4cb6-bb07-47812aed2ee2,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
764,fe1b5df6-4ca9-4d85-8ae6-b2b8b2a1dec1,69.Pre,22.5m,69.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,69,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.02,0.7,,0860a86f-ee11-4cb6-bb07-47812aed2ee2,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
774,56d38cc1-7ffd-4e1e-8f3f-de8c9aa6b145,70.Pre,30m,70.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,70,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,,,1780e506-dc5e-4ab0-ab45-2ac687c6a09a,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
775,dc3f8ba0-060f-4bd8-8d05-a4f8a6709056,70.Pre,7.5m,70.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,70,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,0.02,,1780e506-dc5e-4ab0-ab45-2ac687c6a09a,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
776,83612cbc-3d2f-49bd-a7fa-f7314c85e2d0,70.Pre,0m,70.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,70,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,,,1780e506-dc5e-4ab0-ab45-2ac687c6a09a,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
771,9990f50c-27c6-4a9f-9167-fb99630a176d,71.Pre,22.5m,71.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,71,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,0.2,0.07,cb2c3dac-d1a0-495a-b0e6-3da3337eef27,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
772,5e9f4ad8-5def-4ef5-80b5-784e6455780b,71.Pre,7.5m,71.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,71,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,0.2,cb2c3dac-d1a0-495a-b0e6-3da3337eef27,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
773,7f4d722a-41b6-407c-9eae-f1bf71b1af2f,71.Pre,0m,71.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,71,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,0.04,0.3,cb2c3dac-d1a0-495a-b0e6-3da3337eef27,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
770,7d84614e-3fa8-4d49-8a09-758a3860c5bd,71.Pre,30m,71.Pre,LonePine,Pre,Control,Yes,Canyon_creek,,71,NA,0,0,0,0,0,0,0,0,0,0,,,,,0.01,0.02,,cb2c3dac-d1a0-495a-b0e6-3da3337eef27,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
