Plot,Location,Plot_Size,Species,Above_BH,Decay_Class,Count,Density,Notes,,,,,,
53,0,1,QUGA,B,,6,6,,,,,,,
53,0,1,QUGA,A,,1,1,,,,,,,
53,0,1,AMAL2,B,,29,29,,,,,,,
53,0,1,PIPO,A,,1,1,,,,,,,
53,15,1,QUGA,B,,13,13,,,,,,,
53,15,1,QUGA,A,,3,3,,,,,,,
53,15,1,AMAL2,B,,46,46,,,,,,,
53,15,1,AMAL2,A,,6,6,,,,,,,
53,30,1,QUGA,B,,51,51,,,,,,,
53,30,1,QUGA,A,,4,4,,,,,,,
53,30,1,AMAL2,B,,11,11,,,,,,,
53,30,1,AMAL2,A,,3,3,,,,,,,
32,0,1,QUGA,B,,24,24,Lots of PIPO regen on plot,,,,,,
32,0,1,QUGA,A,,8,8,,,,,,,
32,0,1,AMAL2,B,,2,2,,,,,,,
32,15,1,QUGA,B,,9,9,,,,,,,
32,15,1,QUGA,A,,6,6,,,,,,,
32,15,1,AMAL2,B,,7,7,,,,,,,
32,30,1,QUGA,B,,30,30,,,,,,,
32,30,1,QUGA,A,,12,12,,,,,,,
38,0,1,QUGA,B,,25,25,,,,,,,
38,0,1,QUGA,A,,5,5,,,,,,,
38,0,1,PIPO,A,,1,1,,,,,,,
38,15,1,PIPO,B,,1,1,,,,,,,
38,15,1,QUGA,B,,40,40,,,,,,,
38,15,1,QUGA,A,,3,3,,,,,,,
38,30,1,PIPO,A,,3,3,,,,,,,
38,30,1,QUGA,B,,5,5,,,,,,,
38,30,1,QUGA,A,,7,7,,,,,,,
38,30,1,AMAL2,B,,6,6,,,,,,,
37,0,0.5,QUGA,B,,9,18,,,,,,,
37,0,0.5,QUGA,A,,6,12,,,,,,,
37,0,0.5,AMAL2,B,,6,12,,,,,,,
37,0,0.5,AMAL2,A,,5,10,,,,,,,
37,0,0.5,PRVI,B,,16,32,,,,,,,
37,15,0.5,QUGA,B,,14,28,,,,,,,
37,15,0.5,QUGA,A,,4,8,,,,,,,
37,15,0.5,AMAL2,B,,29,58,,,,,,,
37,15,0.5,PRVI,B,,2,4,,,,,,,
37,30,0.5,QUGA,B,,12,24,,,,,,,
37,30,0.5,QUGA,A,,13,26,,,,,,,
37,30,0.5,PRVI,B,,21,42,,,,,,,
37,30,0.5,AMAL2,B,,11,22,,,,,,,
36,0,0.5,QUGA,B,,19,38,,,,,,,
36,0,0.5,QUGA,A,,14,28,,,,,,,
36,0,0.5,AMAL2,B,,7,14,,,,,,,
36,15,0.5,PIPO,A,,9,18,,,,,,,
36,15,0.5,QUGA,B,,3,6,,,,,,,
36,15,0.5,QUGA,A,,1,2,,,,,,,
36,30,0.5,QUGA,B,,4,8,,,,,,,
36,30,0.5,QUGA,A,,12,24,,,,,,,
36,30,0.5,PIPO,A,,1,2,,,,,,,
36,30,0.5,AMAL2,B,,3,6,,,,,,,
36,30,0.5,AMAL2,A,,7,14,,,,,,,
33,0,0.5,QUGA,B,,33,66,,,,,,,
33,0,0.5,QUGA,A,,13,26,,,,,,,
33,15,0.5,QUGA,B,,59,118,,,,,,,
33,15,0.5,QUGA,A,,1,2,,,,,,,
33,15,0.5,AMAL2,B,,3,6,,,,,,,
33,15,0.5,AMAL2,A,,2,4,,,,,,,
33,15,0.5,PRVI,B,,3,6,,,,,,,
33,30,1,QUGA,B,,23,23,Trail + barbed wire over 1/3 of plot,,,,,,
33,30,1,QUGA,A,,7,7,,,,,,,
33,30,1,AMAL2,B,,2,2,,,,,,,
33,30,1,AMAL2,A,,4,4,,,,,,,
33,30,1,PRVI,B,,9,9,,,,,,,
33,30,1,PRVI,A,,5,5,,,,,,,
34,0,0.5,QUGA,B,,71,142,,,,,,,
34,0,0.5,QUGA,A,,3,6,,,,,,,
34,0,0.5,AMAL2,B,,16,32,,,,,,,
34,15,0.5,PIPO,A,,1,2,Mistletoe,,,,,,
34,15,0.5,QUGA,B,,23,46,,,,,,,
34,15,0.5,QUGA,A,,9,18,,,,,,,
34,15,0.5,AMAL2,B,,7,14,,,,,,,
34,15,0.5,AMAL2,A,,5,10,,,,,,,
34,30,1,QUGA,B,,37,37,,,,,,,
34,30,1,QUGA,A,,11,11,,,,,,,
34,30,1,AMAL2,B,,28,28,,,,,,,
34,30,1,PIPO,A,,1,1,Mistletoe,,,,,,
35,0,1,QUGA,B,,19,19,Patches of PIPO regen at site,,,,,,
35,0,1,QUGA,A,,2,2,,,,,,,
