Plot,Species,Above_BH,Start_m,Stop_m,Length_m,,,,,,
53,AMAL2,,0.2,0.3,0.1,,,,,,
53,AMAL2,,0.4,0.5,0.1,,,,,,
53,AMAL2,,3,3.2,0.2,,,,,,
53,QUGA,,5.3,5.4,0.1,,,0.1,,,
53,SYRO,,6.9,7,0.1,,,0.1,,,
53,AMAL2,,11.9,12.4,0.5,,,0.5,,,
53,SYRO,,12.7,13,0.3,,,0.3,,,
53,QUGA,Y,17.2,19.3,2.1,,,2.1,365.4,8.7,0.29
53,AMAL2,,18.9,18.3,-0.6,,,0.6,,,
53,SYRO,,20.2,21,0.8,,,0.8,,,
53,AMAL2,,24.3,24.8,0.5,,,0.5,,,
53,AMAL2,,25.2,25.8,0.6,,,0.6,,,
53,QUGA,Y,25.4,27.4,2,,,2,,,12.18
53,SYRO,,27.4,29.1,1.7,,,1.7,,,
53,QUGA,,27.8,28.3,0.5,,,0.5,,,
53,QUGA,,29.7,30,0.3,,,0.3,,,
32,QUGA,,4.7,5.5,0.8,,,0.8,,,
32,AMAL2,,10.7,11,0.3,,,0.3,,,
32,AMAL2,,12.2,12.4,0.2,,,0.2,,,
32,PRVI,,19.2,19.4,0.2,,,0.2,,,
32,QUGA,,19.3,19.6,0.3,,,0.3,,,
32,AMAL2,,19.9,20,0.1,,,0.1,,,
32,SYRO,,20.1,20.4,0.3,,,0.3,,,
32,SYRO,,20.9,21.2,0.3,,,0.3,,,
32,SYRO,,28.8,30,1.2,,,1.2,,,
38,QUGA,,0,1.1,1.1,,,1.1,,,
38,SYRO,,0,0.3,0.3,,,0.3,,,
38,SYRO,,0.5,0.8,0.3,,,0.3,,,
38,QUGA,,1.5,2.7,1.2,,,1.2,,,
38,SYRO,,2.7,3.3,0.6,,,0.6,,,
38,QUGA,,3.4,3.6,0.2,,,0.2,,,
38,QUGA,Y,24.4,29.8,5.4,,,5.4,,,
37,SYRO,,0.1,0.7,0.6,,,0.6,,,
37,AMAL2,,1.2,1.5,0.3,,,0.3,,,
37,QUGA,,1.8,2.4,0.6,,,0.6,,,
37,ROWO,,2.6,2.9,0.3,,,0.3,,,
37,PRVI,,3,4,1,,,1,,,
37,SYRO,,3.3,4,0.7,,,0.7,,,
37,PRVI,,5.4,5.5,0.1,,,0.1,,,
37,QUGA,Y,5.6,7.7,2.1,,,2.1,,,
37,AMAL2,,6.2,6.3,0.1,,,0.1,,,
37,SYRO,,6.9,7.2,0.3,,,0.3,,,
37,SYRO,,7.9,8.2,0.3,,,0.3,,,
37,SYRO,,8.6,8.9,0.3,,,0.3,,,
37,AMAL2,,8.7,8.8,0.1,,,0.1,,,
37,AMAL2,,9.1,9.4,0.3,,,0.3,,,
37,QUGA,Y,9.6,10.3,0.7,,,0.7,,,
37,AMAL2,,9.8,10.5,0.7,,,0.7,,,
