Plot,Point,Species,Canopy Class,Burned,Clump Size,Notes,,,,,,,,
25,1,PIPO,2,No,1,,,,,,,,,
25,2,PIPO,2,No,1,,,,,,,,,
25,3,QUGA,4,No,4,,,,,,,,,
25,3,PIPO,2,No,1,,,,,,,,,
25,8,QUGA,4,No,7,,,,,,,,,
25,16,QUGA,4,No,7,,,,,,,,,
25,17,QUGA,4,No,7,,,,,,,,,
25,18,QUGA,4,No,7,,,,,,,,,
25,19,QUGA,4,No,7,,,,,,,,,
25,20,QUGA,4,No,7,,,,,,,,,
26,,QUGA,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,QUGA,,,,,,,,,,,,
26,,QUGA,,,,,,,,,,,,
26,,QUGA,,,,,,,,,,,,
26,,QUGA,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
26,,PIPO,,,,,,,,,,,,
27,1,PIPO,2,No,4,,,,,,,,,
27,2,PIPO,2,No,4,,,,,,,,,
27,3,PIPO,2,No,4,,,,,,,,,
27,4,PIPO,2,No,4,,,,,,,,,
27,5,PIPO,2,No,4,,,,,,,,,
27,6,PIPO,2,No,4,,,,,,,,,
27,7,PIPO,2,No,4,,,,,,,,,
27,8,PIPO,2,No,4,,,,,,,,,
27,9,PIPO,4,No,2,,,,,,,,,
28,1,PIPO,4,No,2,,,,,,,,,
29,3,QUGA,4,No,4,,,,,,,,,
29,4,QUGA,4,No,4,,,,,,,,,
29,13,PIPO,2,No,4,,,,,,,,,
29,14,PIPO,2,No,4,,,,,,,,,
29,15,PIPO,3,No,10,,,,,,,,,
29,16,PIPO,3,No,10,,,,,,,,,
29,17,PIPO,"2,3",No,10,,,,,,,,,
29,18,PIPO,2,No,10,,,,,,,,,
29,19,PIPO,2,No,10,,,,,,,,,
29,20,PIPO,"2,4",No,10,,,,,,,,,
29,21,PIPO,2,No,10,,,,,,,,,
29,22,PIPO,2,No,10,,,,,,,,,
29,23,PIPO,2,No,10,,,,,,,,,
29,24,PIPO,2,No,10,,,,,,,,,
29,25,PIPO,2,No,10,,,,,,,,,
29,28,PIPO,1,No,2,,,,,,,,,
29,29,PIPO,1,No,2,,,,,,,,,
29,30,PIPO,"1,4",No,2,,,,,,,,,
30,11,PIPO,2,No,2,,,,,,,,,
30,12,PIPO,2,No,2,,,,,,,,,
30,13,PIPO,2,No,2,,,,,,,,,
30,14,PIPO,2,No,2,,,,,,,,,
30,15,PIPO,2,No,2,,,,,,,,,
30,25,PIPO,1,No,1,,,,,,,,,
30,26,PIPO,1,No,1,,,,,,,,,
30,27,PIPO,1,No,1,,,,,,,,,
30,28,PIPO,1,No,1,,,,,,,,,
30,29,PIPO,1,No,1,,,,,,,,,
31,8,PIPO,4,No,1,,,,,,,,,
31,25,QUGA,4,No,7,,,,,,,,,
32,1,PIPO,2,No,3,,,,,,,,,
32,2,PIPO,2,No,3,,,,,,,,,
32,3,PIPO,2,No,1,,,,,,,,,
32,9,PIPO,2,"Yes, down low.",1,,,,,,,,,
33,11,PIPO,2,No,1,,,,,,,,,
33,12,PIPO,2,No,1,,,,,,,,,
33,13,PIPO,2,No,1,,,,,,,,,
33,14,PIPO,2,No,1,,,,,,,,,
33,15,PIPO,2,No,1,,,,,,,,,
33,16,PIPO,2,No,1,,,,,,,,,
33,17,PIPO,2,No,1,,,,,,,,,
33,18,PIPO,2,No,1,,,,,,,,,
33,19,PIPO,2,No,1,,,,,,,,,
33,20,PIPO,2,No,1,,,,,,,,,
33,21,PIPO,2,No,1,,,,,,,,,
33,24,PIPO,2,No,1,,,,,,,,,
33,25,PIPO,2,No,1,,,,,,,,,
33,26,PIPO,2,No,1,,,,,,,,,
33,27,PIPO,2,No,1,,,,,,,,,
33,28,PIPO,2,No,1,,,,,,,,,
33,29,PIPO,2,No,1,,,,,,,,,
33,30,PIPO,2,No,1,,,,,,,,,
34,,,,,,No Hits,,,,,,,,
35,,,,,,No Hits,,,,,,,,
36,1,PIPO,3,No,2,,,,,,,,,
36,2,PIPO,3,No,2,,,,,,,,,
36,3,PIPO,2,No,2,,,,,,,,,
36,4,PIPO,2,No,2,,,,,,,,,
36,5,PIPO,2,No,2,,,,,,,,,
36,29,PIPO,2,No,5,,,,,,,,,
36,30,PIPO,2,No,5,,,,,,,,,
37,1,PIPO,2,No,1,,,,,,,,,
37,2,PIPO,2,No,1,,,,,,,,,
37,3,PIPO,2,No,1,,,,,,,,,
37,4,PIPO,2,No,1,,,,,,,,,
37,5,PIPO,2,No,1,,,,,,,,,
37,6,PIPO,2,No,1,,,,,,,,,
37,21,PIPO,3,No,2,,,,,,,,,
37,22,PIPO,3,No,2,,,,,,,,,
37,23,PIPO,3,No,2,,,,,,,,,
37,24,PIPO,2,No,2,,,,,,,,,
37,25,PIPO,2,No,2,,,,,,,,,
37,26,PIPO,2,No,2,,,,,,,,,
37,27,PIPO,2,No,2,,,,,,,,,
37,28,PIPO,2,No,1,,,,,,,,,
37,29,PIPO,2,No,1,,,,,,,,,
37,30,PIPO,2,No,1,,,,,,,,,
38,1,PIPO,2,No,2,,,,,,,,,
38,6,PIPO,2,No,1,,,,,,,,,
38,8,PIPO,2,No,1,,,,,,,,,
38,9,PIPO,2,No,1,,,,,,,,,
38,10,PIPO,2,No,1,,,,,,,,,
38,11,PIPO,2,No,1,,,,,,,,,
38,25,PIPO,2,No,1,,,,,,,,,
38,26,PIPO,2,No,1,,,,,,,,,
38,27,PIPO,2,No,1,,,,,,,,,
39,,PIPO,,,,,,,,,,,,
39,,PIPO,,,,,,,,,,,,
39,,PIPO,,,,,,,,,,,,
39,,PIPO,,,,,,,,,,,,
39,,QUGA,,,,,,,,,,,,
39,,QUGA,,,,,,,,,,,,
39,,QUGA,,,,,,,,,,,,
39,,PIPO,,,,,,,,,,,,
40,,QUGA,,,,,,,,,,,,
40,,QUGA,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
40,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,PIPO,,,,,,,,,,,,
41,,QUGA,,,,,,,,,,,,
41,,QUGA,,,,,,,,,,,,
41,,QUGA,,,,,,,,,,,,
41,,,No Hits,,,,,,,,,,,
42,,,No Hits,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,QUGA,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,QUGA,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
42,,PIPO,,,,,,,,,,,,
