Plot,Trt,Tree,Species,Azimuth,Distance,DBH,BA,Height,CBH,CR,Decay_Class,Char_Height,Scorch_Height,Beetle,Cone,Shrub,Notes,Column1
26,Ctrl,M1,PIPO,11,21.5,6.2,0.20965176,26.1,NA,#VALUE!,D,NA,NA,DG,NA,>50,BROKEN TOP. POST MORTALITY BEETLES.,
25,Ctrl,629,PIPO,106,28,20.2,2.22545016,71.3,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,681,PIPO,20,27.5,4.8,0.12566016,24,6,75,D1,NA,NA,D,NA,>50,,
31,Ctrl,T10,PIPO,116,18,13,0.921726,49.4,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T11,PIPO,134,14,15.3,1.27672686,60.6,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T13,PIPO,178,24.5,10.4,0.58990464,58.4,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T15,PIPO,236,12,14.8,1.19464416,55.8,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T17,PIPO,283,14,13.7,1.02366126,59.3,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T2,PIPO,42,21,9.2,0.46162656,62,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T3,PIPO,44,25.5,13.6,1.00877184,62,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T4,PIPO,56,32,11.1,0.67198734,56.9,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T5,PIPO,66,17.5,10.1,0.55636254,60,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T6,PIPO,78,17,5.5,0.1649835,27.7,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
31,Ctrl,T8,PIPO,108,29,13.9,1.05376734,61.6,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
33,Ctrl,T1,PIPO,260.2,18,5.4,0.15903864,26.5,NA,#VALUE!,D1,NA,NA,D,NA,>50,Leaning 40 deg from ground,
33,Ctrl,T2,PIPO,279.4,29,5.5,0.1649835,26.9,NA,#VALUE!,D1,NA,NA,D,NA,>50,"Leaning, woodpecker holes",
34,Ctrl,T1,PIPO,42.8,11.5,20.8,2.35961856,76.6,NA,#VALUE!,D1,NA,NA,D,NA,>50,Prob had mistletoe,
34,Ctrl,T2,PIPO,47.5,29.5,11,0.659934,52.4,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
34,Ctrl,T3,PIPO,72.9,25.5,6.2,0.20965176,28.2,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
34,Ctrl,T4,PIPO,74.3,29,7.5,0.3067875,59.4,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
34,Ctrl,T5,PIPO,308.4,31,16.5,1.4848515,56.4,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
34,Ctrl,T6,PIPO,310.7,17.5,11.6,0.73389024,61.3,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
34,Ctrl,T7,PIPO,325.9,9.5,11.6,0.73389024,58.3,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
34,Ctrl,T8,PIPO,346.5,24.5,15.6,1.32728544,75.8,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
55,70BA,T1,PIPO,160,30,5.6,0.17103744,30.9,NA,#VALUE!,D1,NA,NA,D,NA,>50,,
60,90BA,580,PIPO,120,20.5,22.6,2.78568504,87.2,NA,#VALUE!,D1,NA,NA,D,NA,<50,NO NEEDLES,
62,90BA,590,PIPO,212,12,6,0.196344,27.4,NA,#VALUE!,D1,NA,NA,D,NA,>50,NO NEEDLES,
31,Ctrl,T16,PIPO,254,11.5,6.8,0.25219296,40.7,NA,#VALUE!,D1 ,NA,NA,D,NA,>50,,
31,Ctrl,T18,PIPO,284,11.5,13.6,1.00877184,68.6,N,#VALUE!,D1 ,NA,NA,D,NA,>50,,
31,Ctrl,T19,PIPO,282,10.5,5.2,0.14747616,27.6,NA,#VALUE!,D1 ,NA,NA,D,NA,<50,,
36,Ctrl,T1,PIPO,211.5,16.5,7,0.267246,21.2,NA,#VALUE!,D2,NA,NA,D,NA,<50,,
62,90BA,585,PIPO,66,20.5,5.7,0.17720046,12.4,NA,#VALUE!,D2,NA,NA,D,NA,>50,THE CROOKED ONE. BROKEN TOP.,
25,Ctrl,630,PIPO,119,32.5,15.1,1.24356654,68.2,38.9,42.96187683,L,NA,NA,G ,NA,>50,Leaning,
