Plot,Location,Bare_Ground,LitterDuff,Rock,Gravel,LichenMoss,Woody_Basal,FWD,CWD,Total,hr1,hr10,hr100,Total2,Graminoinds,Forbs,Shrubs,Seedlings
32,7.5,0,88,0,0,0,0,12,0,100,0.05,0.13,0,13.63,3,0,0,0
35,30,0,91,0,0,0,2,7,0,100,0.13,0.23,0.45,14.18,0,3,10,0
36,0,0,92,0,0,0,4,4,0,100,0.23,0.23,0,13.73,0,3,65,0
36,7.5,0,90,0,0,0,4,6,0,100,0.05,0.23,0,13.73,5,3,40,0
36,30,0,89,0,0,0,3,8,0,100,0.05,0.23,0,13.73,0,0,50,0
37,0,0,90,0,0,0,1,9,0,100,0.13,0.23,0.45,14.18,2,3,7,0
37,22.5,0,75,0,0,0,3,20,2,100,0.45,2.25,0.23,15.98,0,0,70,0
37,30,0,91,0,0,0,6,3,0,100,0.45,0.13,0,13.63,0,0,90,0
38,0,0,89,0,0,0,5,6,0,100,0.32,0.32,0.32,14.14,0,0,60,0
38,7.5,0,94,0,0,0,0,6,0,100,0.05,0.23,0,13.73,3,0,0,0
38,22.5,0,90,0,0,0,0,10,0,100,0.13,0.32,0,13.82,0,0,0,0
57,22.5,0,80,0,0,0,0,20,0,100,0.05,0.13,0.13,13.76,2,0,10,0
29,30,0,86,0,0,0,7,4,3,100,1.35,2.5,0.45,11.95,0,0,60,0
31,7.5,0,94,0,0,0,1,2,3,100,0.13,0.45,0.45,9.9,2,3,2,0
32,0,0,62,0,0,0,30,8,0,100,0.32,0.32,0.23,9.55,1,3,0,0
32,22.5,0,98,0,0,0,0,2,0,100,0.01,0.05,0,9.05,0,5,0,0
32,30,0,96,0,0,0,0,4,0,100,0,0.13,0,9.13,0,0,8,0
33,0,0,88,0,0,0,4,8,0,100,0.23,0.45,0,9.45,0,0,95,0
33,7.5,0,94,0,0,0,4,2,0,100,0.05,0.05,0,9.05,0,3,50,0
33,30,0,84,0,0,0,6,7,3,100,0.32,2.25,0.32,11.57,0,0,80,0
34,0,0,87,0,0,0,7,6,0,100,0.13,0.13,0,9.13,0,1,60,0
34,7.5,0,89,0,0,0,3,8,0,100,0.13,0.05,0,9.05,0,2,20,0
34,22.5,0,88,0,0,0,3,9,0,100,0.13,0.45,0.32,9.77,3,0,80,0
34,30,0,89,0,0,0,2,9,0,100,0.1,0.23,0.13,9.36,2,0,12,0
35,7.5,0,85,0,0,0,0,15,0,100,0.05,0.45,0,9.45,1,5,0,0
35,22.5,0,91,0,0,0,7,2,0,100,0.13,0.05,0,9.05,0,4,70,0
37,7.5,0,90,0,0,0,4,6,0,100,0.13,0.13,0,9.13,0,8,75,0
38,30,1,89,0,0,0,0,10,0,100,0.23,0.13,1.35,10.48,0,0,3,0
54,22.5,0,85,0,0,0,5,10,0,100,0.45,0.23,0,9.23,2,0,80,0
55,0,3,82,0,0,0,6,9,0,100,0.05,0.05,0,9.05,0,0,50,0
55,7.5,0,79,0,0,0,1,20,0,100,0.23,1.35,0,10.35,0,1,3,0
56,7.5,0,83,0,0,0,7,10,0,100,0.45,0.23,0,9.23,3,2,75,0
56,22.5,0,92,0,0,0,3,5,0,100,0.45,0.23,0,9.23,2,3,25,0
56,30,0,89,0,0,0,3,8,0,100,0.13,0.32,0.23,9.55,4,2,10,0
57,0,0,91,0,0,0,1,8,0,100,0.05,0.13,0,9.13,8,1,30,0
57,7.5,0,92,0,0,0,1,7,0,100,0.45,0.45,0,9.45,5,1,15,0
57,30,0,88,0,0,0,8,4,0,100,0.32,0.13,0.13,9.26,0,0,50,0
58,0,3,90,0,0,0,1,6,0,100,0.05,0.23,0,9.23,1,3,3,0
58,7.5,0,70,0,0,0,0,30,0,100,2.25,13.5,2.25,24.75,0,0,0,0
