ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Number of hits,Species,Canopy Class,PercentCover,Clump,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
113,44f1eaea-6875-44a7-8b52-6c77f29cce35,LonePine,Pre,STS,No,Fader,,1,NA,4,PIPO,Codom,13.33333333,1,,1a2f8a0c-b54e-41c1-8987-1c1ff5a9694a,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
111,132d5ac5-f6a2-421e-a3bc-cf8c0491a933,LonePine,Pre,STS,No,Fader,,1,NA,6,QUGA,Midstory,20,2,,1a2f8a0c-b54e-41c1-8987-1c1ff5a9694a,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
110,d3d5c84f-2174-4075-8b7b-4aeef22091c3,LonePine,Pre,STS,No,Fader,,1,NA,8,QUGA,Midstory,26.66666667,5,,1a2f8a0c-b54e-41c1-8987-1c1ff5a9694a,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
112,536ce110-675b-4395-aa79-c5b2168f3ff3,LonePine,Pre,STS,No,Fader,,1,NA,1,QUGA,Midstory,3.333333333,10,,1a2f8a0c-b54e-41c1-8987-1c1ff5a9694a,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
114,e93f6438-243c-4114-a1b2-61aea07d3282,LonePine,Pre,STS,Yes,Fader,,1,NA,2,PIPO,Midstory,6.666666667,1,,1a2f8a0c-b54e-41c1-8987-1c1ff5a9694a,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
81,3ef951c8-daac-4c65-93cf-c56c490bc928,LonePine,Pre,STS,Yes,Fader,,2,NA,2,PIPO,Codom,6.666666667,1,,94fbb7c0-7a46-4d41-a034-52120599b65e,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
82,7a7016c0-d8b3-42ad-a538-3cdb7ca6e2d7,LonePine,Pre,STS,Yes,Fader,,2,NA,3,PIPO,Codom,10,1,,94fbb7c0-7a46-4d41-a034-52120599b65e,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
84,d6bfaccd-8d4c-46a4-a3fa-c4a5e931c6ce,LonePine,Pre,STS,Yes,Fader,,2,NA,22,PIPO,Codom,73.33333333,2,,94fbb7c0-7a46-4d41-a034-52120599b65e,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
78,94b3643e-4f1a-4482-8bb7-3788a298e3b8,LonePine,Pre,STS,Yes,Fader,,2,NA,1,PIPO,Midstory,3.333333333,1,,94fbb7c0-7a46-4d41-a034-52120599b65e,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
79,05057401-3bc5-44a6-8cbf-5ef898d631ad,LonePine,Pre,STS,Yes,Fader,,2,NA,5,POTR5,Codom,16.66666667,7,,94fbb7c0-7a46-4d41-a034-52120599b65e,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
