ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Tree Number,Species,Decay Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter Units,DBH,DBH_in,BA,Height Units,Height,Crown Base Height,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
387,a11092f8-e30f-4141-85d2-156fd8e43402,LonePine,Pre,LTR,No,wolf_den,,93,NA,,PIPO,L,UNK,,B,None,,cm,59.2,23.30708661,2.962723442,,76.1,14,81.60315375,,,,8d48ef3d-afb2-4fd6-b18c-e34030689d1f,7/17/2020 3:54,MSI.forest,7/17/2020 3:54,MSI.forest
974,45eb220c-0f71-45aa-822a-a948e3022ae5,LonePine,Pre,Control,No,Best,,31,NA,,PIPO,M,I,BB,B,None,>half,cm,49.8,19.60629921,2.096555608,ft,54.7,4,92.68738574,,,,ebbb5439-2d34-4b6d-ba12-3a80891a627b,7/23/2020 14:51,MSI.swindell,7/23/2020 14:51,MSI.swindell
986,ff0fb3ef-84fd-4758-91ef-f4f0e499fd0d,LonePine,Pre,Control,No,Best,,31,NA,,PIPO,M,I,BB,B,None,>half,cm,49.8,19.60629921,2.096555608,ft,54.7,4,92.68738574,,,,a87e12fe-1112-45dc-b1df-355731f735f2,7/23/2020 14:52,MSI.swindell,7/23/2020 14:52,MSI.swindell
1635,267fdd16-b829-48cb-b9e9-faa63f1f61ed,LonePine,Pre,STS,No,Canyon_creek,,178,NA,,PIPO,M,,,B,None,<half,cm,30,11.81102362,0.760834522,,45,,,,,,f6ed5a5f-35f0-47f4-99de-e6b0abdbcf7f,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
1822,b02c8d00-9c8a-463d-a2f5-1768871ed3d2,LonePine,Pre,Control,Yes,Canyon_creek,,68,NA,,PIPO,M,,,B,None,>half,cm,16.6,6.535433071,0.232950623,ft,24.6,,,,,,ab359d8b-674d-4722-aa6d-694c6640d2cd,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
511,0d92a82b-a12e-4fc6-85cb-876f2d7ed807,LonePine,Pre,STS,No,wolf_den,,153,NA,1,PIPO,L,I,,B,,,cm,16,6.299212598,0.216415153,ft,26,,,,,,e85b3374-8fd7-4620-ad9d-d81e4bd3773b,7/17/2020 3:54,MSI.forest,7/17/2020 3:54,MSI.forest
648,9490f7b0-3116-452b-9f78-fcf6fcc99ad0,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,,PIPO,D,I,BB,BPT,None,>half,cm,25,9.842519685,0.528357307,,4.2,,,,,,9dd3c3cf-74c5-4f44-8f3e-d2854a15acae,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
1321,fe303733-8a86-477f-908d-2785d2ee8cec,LonePine,Pre,Control,Yes,lake_canyon,,35,NA,,PIPO,M,I,BB,BPT,None,>half,cm,71.2,28.03149606,4.285561064,ft,76.8,,,,,,3751c61e-e026-4a59-b4f5-fa3558ab3e9b,7/30/2020 21:21,MSI.swindell,7/30/2020 21:21,MSI.swindell
2431,b9942584-bd34-4d12-a339-4fb463c912b5,LonePine,Pre,LTR,No,glade_canyon,,200,NA,,PIPO,M,I,BB,BPT,None,<half,cm,57.2,22.51968504,2.765920913,ft,59.5,23.9,59.83193277,,,,5cf72e26-9c92-4b1e-83f2-ab07f453eb85,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
2522,83d14d10-71df-4e8c-8636-66411907b52d,LonePine,Pre,Control,Yes,glade_canyon,,24,NA,,PIPO,D,I,BB,BPT,None,<half,cm,35.5,13.97637795,1.065379673,ft,28.5,,,,,,bd4f8c0f-5e0d-4fd4-86f5-7957e3fd6e63,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
