Project,Date,Observers,Transect_Length,Units,Plot,Unit,Species,Above_BH,Start_m,Stop_m,Length_m,Entry_date,Entered_by
Salter,20230920,CM,30,m,1,2,QUGA,0,0,1.35,1.35,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,1.89,2.14,0.25,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,13.89,14.24,0.35,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,20.32,20.92,0.6,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,21.86,22.27,0.41,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,22.91,23.07,0.16,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,25.19,25.3,0.11,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,26.7,26.72,0.02,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,27.48,28.6,1.12,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,5.4,9.1,3.7,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,12.68,12.8,0.12,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,13.23,13.84,0.61,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,16.72,17.54,0.82,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,20.28,21.69,1.41,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,29.66,30,0.34,20231011,CC
Salter,20230921,CM,30,m,3,2,QUGA,0,2.67,3.17,0.5,20231011,CC
Salter,20230921,CM,30,m,3,2,QUGA,0,22.65,23.69,1.04,20231011,CC
Salter,20230921,CM,30,m,3,2,QUGA,0,26.79,29.29,2.5,20231011,CC
Salter,20230921,NS,30,m,4,2,QUGA,0,0.5,4.16,3.66,20231011,CC
Salter,20230921,NS,30,m,4,2,QUGA,0,29.65,30,0.35,20231011,CC
Salter,20230920,NS,30,m,5,7,QUGA,0,10.19,10.82,0.63,20231010,CC
Salter,20230920,NS,30,m,5,7,ROWO,0,25.55,25.65,0.1,20231010,CC
Salter,20230920,NS,30,m,5,7,ROWO,0,29.38,29.49,0.11,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,0,0,2.66,2.66,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,0,9.34,10.81,1.47,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,0,21.98,24.52,2.54,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,1,25.49,27.28,1.79,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,1,28.6,30,1.4,20231010,CC
Salter,20230920,CC,30,m,7,7,QUGA,0,0,2.81,2.81,20231010,CC
Salter,20230920,CC,30,m,7,7,ROWO,0,4.81,4.92,0.11,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,1.12,1.98,0.86,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,2.51,2.91,0.4,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,3.26,3.73,0.47,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,9.93,10,0.07,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,16.67,16.95,0.28,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,19.77,19.94,0.17,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,21.47,22.26,0.79,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,24.47,24.88,0.41,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,29.09,30,0.91,20231010,CC
Salter,20230920,CC,30,m,9,6,QUGA,0,0.5,1.25,0.75,20231010,CC
Salter,20230920,CC,30,m,9,6,QUGA,0,4.49,5.21,0.72,20231010,CC
Salter,20230920,CC,30,m,9,6,QUGA,0,7.16,8.13,0.97,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,7.1,7.25,0.15,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,8.41,8.69,0.28,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,12.84,12.91,0.07,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,13.39,13.64,0.25,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,16.59,17.89,1.3,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,25.18,26.75,1.57,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,27.28,28.72,1.44,20231010,CC
Salter,20230920,CM,30,m,10,6,AMAL2,0,28.76,29.8,1.04,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,0,18.25,19.1,0.85,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,0,20.49,20.66,0.17,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,1,21.19,22,0.81,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,0,22.42,27.81,5.39,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,0,0.99,0.99,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,1.52,4.67,3.15,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,1,3.5,4.1,0.6,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,7.72,11.51,3.79,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,20.24,20.6,0.36,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,23.43,27.34,3.91,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,0,0.31,0.31,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,1,0.61,1.05,0.44,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,0.73,3.47,2.74,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,5.8,10.34,4.54,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,1,7.69,8.41,0.72,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,20.72,22.31,1.59,20231010,CC
Salter,20231003,CP,30,m,14,1,QUGA,1,0.4,8.35,7.95,20231006,NS
Salter,20231003,CP,30,m,14,1,QUGA,1,8.2,11.4,3.2,20231006,NS
Salter,20231003,CP,30,m,14,1,ROWO,0,17.47,17.85,0.38,20231006,NS
Salter,20231003,CP,30,m,14,1,QUGA,1,20.72,24.5,3.78,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,0.77,3.49,2.72,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,4.91,8.47,3.56,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,6.72,6.78,0.06,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,8.99,9.95,0.96,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,9.93,10.13,0.2,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,10.97,11,0.03,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,11.61,11.74,0.13,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,15.02,15.1,0.08,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,17.5,18.68,1.18,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,1,23.9,30,6.1,20231006,NS
Salter,20231003,NS,30,m,16,3,QUGA,0,0.48,2.05,1.57,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,2.42,2.95,0.53,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,3.8,5.29,1.49,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,6.2,9.81,3.61,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,29.71,30,0.29,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,18.5,20,1.5,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,1,19.52,20.71,1.19,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,20.5,23.12,2.62,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,26.13,26.64,0.51,20231012,CC
