ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Tree Number,Species,Decay Class,Tree Damage Code,Damage Agent,Beetle Evidence,Cone Production,Shrubs under trees,Diameter Units,DBH,Height Units,Height,Crown Base Height,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
115,250a0bc8-f212-4d7e-87da-9656becd25e0,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,1,PIPO,L,,,G,None,<half,cm,24.6,ft,28.4,12.6,55.63380282,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
116,601c90f5-3574-4eaa-aa3c-d1bdbe2c77e3,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,2,PIPO,L,,,G,None,<half,cm,22.5,ft,30,15.2,49.33333333,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
117,1801b401-2967-4b0f-9c58-dc3e658342bd,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,3,PIPO,L,,,G,None,<half,cm,23.3,ft,33,16.8,49.09090909,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
118,0b262eed-db95-4fb1-a094-c78b3b8999f0,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,4,PIPO,L,,,,None,<half,cm,14.1,ft,23.9,15.2,36.40167364,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
119,f881e387-c80b-4d83-a150-3d279fdb5d69,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,5,PIPO,L,,,G,None,<half,cm,11.2,ft,16.2,5.6,65.43209877,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
120,c7d8239a-987f-45c0-a6cd-763ff1322cc2,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,6,PIPO,L,,,G,None,<half,cm,23,ft,34.4,15.6,54.65116279,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
121,35f61ebc-b3a6-46d5-a528-3e54188e7c5b,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,7,PIPO,L,,,G,None,<half,cm,17.9,ft,27,12.6,53.33333333,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
122,299c37f1-eaf5-4bf0-875f-fa0ce7d2b276,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,8,PIPO,L,,,G,None,<half,cm,15,ft,35.6,8.9,75,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
123,59ade942-f18b-465f-b431-38bbd968ae5f,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,9,PIPO,L,,,G,None,<half,cm,17.1,ft,26.2,5.8,77.86259542,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
124,de944ae4-5516-433f-be8e-cadbd10cf2ed,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,10,PIPO,L,,,G,None,<half,cm,12.6,ft,18.8,7,62.76595745,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
125,4c618695-17f9-433b-98f8-30ab7daedea0,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,11,PIPO,L,,,G,None,<half,cm,19,ft,26.4,15.6,40.90909091,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
126,63d55752-7b9c-4ded-a859-ad90089c0356,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,12,PIPO,L,,,G,None,<half,cm,18.3,ft,29,12.6,56.55172414,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
127,c6c1ac2a-a56b-46ed-9f76-fa4b1ae834d7,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,13,PIPO,L,,,G,None,<half,cm,28,ft,25.2,13.8,45.23809524,,,Fader,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
128,923b2064-a795-4b36-a0fb-bc165e3a946d,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,14,PIPO,L,,,G,Few,None,cm,19,ft,32.8,10,69.51219512,,,Fader,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
129,735c5aec-2fd0-49ae-ad58-121d065da477,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,15,PIPO,L,,,G,None,<half,cm,13.4,ft,26,10.2,60.76923077,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
130,a5834eed-a418-4fc3-b444-b944b2823f25,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,15,PIPO,L,,,G,None,<half,cm,31.4,ft,38.6,8.2,78.75647668,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
131,639557c9-76c2-4cf5-b50a-26ce01320c5d,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,17,PIPO,L,,,G,None,<half,cm,27.2,ft,35.4,4,88.70056497,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
132,0b4c3924-5814-4e0a-9bf7-84408a46d54a,LonePine,Pre,Control,Yes,Wolf_den,,1,NA,18,PIPO,L,,,G,None,<half,cm,18.6,ft,33.7,11.8,64.9851632,,,,63c555e1-cb4e-428c-9a88-51157d872030,7/16/20 22:04,MSI.swindell,7/16/20 22:04,MSI.swindell
433,c25bffa0-48ff-4118-bd97-33d4dffe7c0a,LonePine,Pre,STS,Yes,wolf_den,,2,NA,1,PIPO,L,,,G,None,None,cm,29.8,ft,46,18,60.86956522,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
434,a91167cd-23dd-4896-8b0b-0e241f1f4f67,LonePine,Pre,STS,Yes,wolf_den,,2,NA,2,POTR5,L,R,UNK,,,,cm,13.4,ft,37,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
435,96d072ae-5c0b-4c50-a5c6-ab974072ac43,LonePine,Pre,STS,Yes,wolf_den,,2,NA,3,POTR5,L,,,,,,cm,17.8,ft,42,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
436,efc3d9b9-266e-4172-8761-8f6fcfc345a7,LonePine,Pre,STS,Yes,wolf_den,,2,NA,4,POTR5,L,R,UNK,,,,cm,19,ft,43,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
437,c8542808-e8b7-4c03-87a2-c0708428d95b,LonePine,Pre,STS,Yes,wolf_den,,2,NA,5,POTR5,L,,,,,,cm,13.6,ft,32,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
438,e7a10b70-5100-402d-a5ae-f3b147bc1a72,LonePine,Pre,STS,Yes,wolf_den,,2,NA,6,POTR5,L,,,,,,cm,14.8,ft,34,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
439,e1d64ef1-7029-43c4-b8b1-bc9316f977dc,LonePine,Pre,STS,Yes,wolf_den,,2,NA,7,PIPO,L,,,G,,None,cm,22.6,ft,42,18,57.14285714,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
440,d1eaf2f9-6563-4b3a-80df-3865cd9714ac,LonePine,Pre,STS,Yes,wolf_den,,2,NA,8,POTR5,,,,,,,cm,18.4,ft,43,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
441,d6fa5a22-76c8-42ec-84eb-7687971822ac,LonePine,Pre,STS,Yes,wolf_den,,2,NA,9,POTR5,,,,,,,cm,14.6,ft,39,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
442,f8ec1833-2981-4e2e-b2e4-953702dbbeee,LonePine,Pre,STS,Yes,wolf_den,,2,NA,10,POTR5,L,,,,,,cm,17.8,ft,38,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
443,ed9b1f80-932b-49ab-9056-12a6ad5e4cb5,LonePine,Pre,STS,Yes,wolf_den,,2,NA,11,POTR5,L,,,,,,cm,11.7,ft,34,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
444,00ca8ad3-7531-4cc8-8bbc-daa0789535d7,LonePine,Pre,STS,Yes,wolf_den,,2,NA,12,POTR5,L,,,,,,cm,14.8,ft,36,,,,,,ca1509fc-a4b9-4537-a987-61f5c7db48dd,7/17/20 3:54,MSI.forest,7/17/20 3:54,MSI.forest
