Plot,Unit,BA,n Trees,n Snag,Avg DBH,SD DBH,Avg Height,Avg CBH,n Trees >16in ,Avg >16in DBH,Max DBH,Old Tree Index,Age_12,DBH_12,Age_16,DBH_16,Age_20,DBH_20
1,2,120.2,13,3,12.6,3.32,50.8,26.8,0, ,15.4,,75,15.4,,,,
2,2,108,11,0,12.5,5.06,50.6,23.1,4,18,19.4,10,88,13.8,106,18.2,,
3,2,151,11,0,15.4,4.16,66.1,27.4,5,18.9,20.4,8.6,85,15.1,98,19.6,106,20.4
4,2,129,15,4,11.1,6.13,41.5,20.9,4,19.7,22.2,8,83,15.8,82,16.8,95,22.2
5,7,115.8,7,1,15.9,7.64,56.9,19,3,23.2,25.6,9.3,63,12.3,,,,
6,7,99.9,7,0,15.1,6.3,62.7,17.5,4,20,21.8,9.3, , ,83,18.6,100,21.8
7,7,125.3,6,0,18.2,7.96,72.8,25.3,3,24.8,26.9,8,70,14.1,,,99,26.9
8,7,109.3,9,1,13,7.83,48.3,35.4,4,20.2,23.5,8.8,85,14.8,97,16.3,,
9,6,132.9,6,0,19.3,6.4,72,27.8,4,23.2,24.3,8,99,14,,,113,24.3
10,6,87.6,5,0,16.1,8.85,67.7,23.5,3,21.8,27.3,8.7,,,74,16.9,109,27.3
11,6,79.7,13,0,9.5,4.8,50.2,22.8,2,19.6,20.2,8,103,12.4,102,19,118,20.2
12,6,79.4,6,0,13.7,8.18,53.7,21,2,22.6,26,8.5,,,82,15.5,90,19.1
13,1,127.7,6,0,19.5,3.33,60.3,19.1,6,19.5,24.3,9.5,,,75,16.8,100,24.3
14,1,105.6,4,0,22,1.73,67.1,22.9,4,22,23.5,9.5,,,,,84,23.5
15,1,106.8,5,0,19.7,2.08,63.4,26.5,5,19.7,22.9,8.6,,,71,17.4,108,22.9
16,3,77.2,4,0,18.7,2.66,66.9,29.8,4,18.7,22.5,9.3,,,73,16.4,110,22.5
17,3,39.4,4,0,12.6,5.48,51.9,18.8,1,17.6,17.6,10,91,15.3,81,16.4, , 
18,3,71.6,4,0,17.8,4.02,69.6,26.4,2,21,22.8,10,74,14.1,80,19.2,,
19,5,131.3,8,0,17.3,1.84,75.4,33.4,4,18.5,20.3,9.8,108,15.6,74,17.3,106,20.6
20,5,127.1,10,0,14.6,4.55,68.6,37.2,7,17.7,19.2,8.7,107,15.3,92,18.7,,
21,5,138.6,6,0,19.9,5.83,77.1,31.3,5,22.1,25,9,,,102,18.9,97,25
22,4,120.1,11,0,13.9,2.81,56.3,24,4,17.1,18.5,9.5,,,86,18.5,,
23,4,118.1,7,0,16.7,5.92,59.4,22.7,3,20.4,23.2,8.3,,,106,19.9,110,23.2
24,4,120.2,25,14,7.5,5.82,22,12.9,3,20.6,26.6,8.3,94,15.6,82,16.7,93,26.6
25,8,138.5,11,0,14.7,4.18,59.6,24.2,5,18,22.9,7.4,,,,,,
26,8,91.8,3,0,21.7,11.74,70.8,32.1,2,26.3,34.9,6.5,79,12.5,89,17.6,,
27,8,351.1,24,2,15.8,4.28,65,34.8,8,19.2,23,8.6,,,80,17.9,101,23
28,9,169.3,12,1,14.9,6.3,60.8,34.9,4,21.5,30.5,8.3,94,14.3,92,18,,
30,9,117.1,7,1,16.6,6.11,63.5,26.1,5,19.8,23.6,9.2,,,101,17.9,107,23.6
31,9,119.9,5,0,20.6,4.37,82.8,40,4,22,26.7,9,89,12,83,18.4,126,26.7
33,9,85.7,3,0,22.7,3.19,77.2,25.8,3,22.7,25.3,8.7,,,97,16.4,103,25.9
34,9,103.9,8,1,14.3,6.18,58.6,28.2,1,17.4,17.4,10,98,15.4,96,17.4,,
35,10,109.3,8,0,15,5.36,59.8,23.6,2,23,23.2,8,81,12.6,,,107,23.2
36,10,109,12,1,11,6.98,41.8,27,4,18.7,22.3,8.8,75,15,79,16.1,87,22.3
37,10,77.3,4,0,18.6,3.32,64.8,23,3,20,21.9,9.3,73,14.5,122,17.4,107,21.9
38,10,134.4,15,1,12.3,3.8,57.6,35.2,3,17.6,19.5,8.7,97,12.2,118,19.5,,
42,PFA,105.7,5,0,19.3,4.47,91.3,49.8,4,19.3,24,8,,,113,19.5,103,24
43,PFA,91.1,4,0,20.3,2.98,83.3,40.9,4,20.3,22.9,8,,,112,16.1,108,22.9
44,PFA,86.9,4,0,19.7,3.53,76.9,30.5,3,21.2,23.5,8,103,15.2,105,17.5,,
45,PFA,114.7,7,0,15.2,9.09,66.4,29.9,3,24.1,28.8,7.7,91,13.1,,,110,28.8
46,PFA,98.5,6,1,17.2,2.9,71.7,37.1,4,25.8,34.5,9,77,12.3,77,17.7,,
47,PFA,93.1,6,0,16.5,3.94,69.4,18.6,3,19.6,21.3,,80,14.7,96,16.7,110,21.3
51,NC,88.1,14,0,9.8,4.49,46.3,18.2,2,17.3,18.2,9.5,,,93,16.3,,
52,NC,89,4,0,20,3.62,76.3,33.6,3,21.7,22.5,8.3,105,14.6,,,117,22.5
53,NC,107.6,4,0,22.1,2.56,77.3,26.6,4,22.1,24.8,8.8,,,86,18.7,105,24.8
,,, ,,,,,,,,,,,,,,,
