Project ,Date,Plot,Unit,Observers,Plot_area,Units_dist,Units_dbh,Tree_id,Species,Azimuth,Distance,DBH,Height,CBH,Decay_Class,Char_Height,Scorch_Height,Beetle,Cone,Shrub,Notes,Entry_date,Entered_by,BA,BAF
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P1,PIPO,15,31,4.6,8.9,NA,D3,5.7,NA,G,N,NA,,20231011,CC,0.11540664,1.1540664
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P2,PIPO,59,26.5,15.4,61.3,46,L,3,NA,G,M,0,cored @ DBH,20231011,CC,1.29347064,12.9347064
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P3,PIPO,80,33.5,14.7,57.5,24.5,L,3.7,NA,G,S,0,,20231011,CC,1.17855486,11.7855486
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,878,PIPO,85,10.5,15,59,17.8,L,1,NA,G,D,0,,20231011,CC,1.22715,12.2715
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P5,PIPO,198,27.5,14.2,41.9,NA,D2,41.9,NA,D,N,NA,,20231011,CC,1.09974456,10.9974456
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P6,PIPO,201,29,12.8,52.6,26.5,L,25,NA,GPT,S,0,,20231011,CC,0.89358336,8.9358336
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P7,PIPO,212,28,7.6,43.8,NA,D2,33.8,NA,D,N,NA,,20231011,CC,0.31502304,3.1502304
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P8,PIPO,223,33,14.3,59.6,35.1,L,16,NA,G,M,0,,20231011,CC,1.11528846,11.1528846
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P9,PIPO,271,28.5,13.9,59.5,27.8,L,7.3,NA,G,D,0,,20231011,CC,1.05376734,10.5376734
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P10,PIPO,278,15.5,13.3,57,24.4,L,4.5,NA,G,M,0,,20231011,CC,0.96475806,9.6475806
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P11,PIPO,343,17,12.3,47.6,21.6,L,22,NA,G,N,0,,20231011,CC,0.82513566,8.2513566
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P12,PIPO,345,35,10.1,51.4,19.3,L,7.3,NA,G,M,0,,20231011,CC,0.55636254,5.5636254
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P13,PIPO,351,32.5,15.9,59.9,25,L,13.7,NA,G,D,0,,20231011,CC,1.37882574,13.7882574
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,130,PIPO,3,37,4.8,20.2,7.4,L,1,NA,G,N,0,,20231011,CC,0.12566016,1.2566016
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P2,PIPO,94,36.5,18.2,71.7,35.9,L,2,NA,G,D,0,,20231011,CC,1.80658296,18.0658296
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P3,PIPO,120,32,5.3,5.9,5.2,L,NA,NA,G,N,1,leaning,20231011,CC,0.15320286,1.5320286
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P4,PIPO,120,16,11.3,58,30.4,L,2,NA,G,M,0,,20231011,CC,0.69642126,6.9642126
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P5,PIPO,142,24,18,69.9,38.6,L,4.5,NA,G,D,1,,20231011,CC,1.767096,17.67096
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P6,PIPO,176,35.5,16.2,68.4,35.1,L,4,NA,G,D,1,,20231011,CC,1.43134776,14.3134776
