Project ,Date,Plot,Unit,Observers,Plot_area,Units_dist,Units_dbh,Tree_id,Species,Azimuth,Distance,DBH,Height,CBH,Decay_Class,Char_Height,Scorch_Height,Beetle,Cone,Shrub,Notes,Entry_date,Entered_by,BA,BAF,DIA_CLASS,PLOT_BA,PER_BA
Salter,20231004,45,PFA,"CC, NS, CP",0.1,ft,in,P2,PIPO,72,22.5,28.8,86.3,26.5,L,11.3,NA,G,S,0,,20231013,CC,4.52376576,45.2376576,F,114.7254354,0.394312364
Salter,20230920,10,6,"CC, NS, CM",0.1,ft,in,947,PIPO,28,17.5,27.3,93,32.3,L,5,NA,G,D,0,cored @ DBH,20231010,CC,4.06481166,40.6481166,F,87.6108744,0.463962001
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,P5,PIPO,245,23,26.9,94.5,36.5,L,15.4,NA,G,D,1,,20231010,CC,3.94656894,39.4656894,E,125.2598364,0.315070581
Salter,20230918,31,9,"CC, CM, NS",0.1,ft,in,956,PIPO,178,26,26.7,93.1,36.5,L,17,NA,G,M,0,,20230927,CC,3.88810206,38.8810206,E,119.8974636,0.324285597
Salter,20230918,24,4,"CC, CM, NS",0.1,ft,in,P5,PIPO,358,35,26.6,83.3,29.2,L,9.3,NA,G,D,0,Cored at dbh,20230927,CC,3.85903224,38.5903224,E,120.1914342,0.321073816
Salter,20230919,12,6,"CC, NS, CM",0.1,ft,in,P5,PIPO,268,13.5,26,84.7,26,L,15.3,NA,G,M,0,cored @ DBH,20231010,CC,3.686904,36.86904,E,79.3644264,0.464553726
Salter,20230914,34,9,"CC, CM, NS",0.1,ft,in,957,PIPO,71,16,25.9,97.1,35.6,L,15.2,NA,G,D,0,,20230925,CC,3.65859774,36.5859774,E,103.9472406,0.351966798
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,945,PIPO,68,16.5,25.6,66.1,16.2,L,11.2,NA,G,D,0,,20231010,CC,3.57433344,35.7433344,E,115.782966,0.308709784
Salter,20230918,33,9,"CC, CM, NS",0.1,ft,in,939,PIPO,75,20.5,25.4,79.7,20.2,L,5.7,NA,G,M,0,Cored at dbh,20230927,CC,3.51870264,35.1870264,E,85.6692504,0.410731111
Salter,20230919,21,5,"CC, CM, NS",0.1,ft,in,P6,PIPO,315,31.5,25,88.8,21.2,L,11.7,NA,GPT,D,0,,20230930,CC,3.40875,34.0875,E,138.627045,0.245893577
Salter,20231005,53,PFA,"CC, NS, CP",0.1,ft,in,143,PIPO,77,33,24.8,78,16,L,12,NA,G,D,0,,20231016,CC,3.35442816,33.5442816,D,107.6259636,0.311674623
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,P2,PIPO,126,20.5,24.6,78.9,25.7,L,2.6,NA,G,D,0,,20231010,CC,3.30054264,33.0054264,D,125.2598364,0.263495685
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,946,PIPO,11,28,24.3,88.6,23.1,L,1,NA,G,D,0,cored @ DBH,20231010,CC,3.22053246,32.2053246,D,132.8501682,0.242418395
Salter,20230921,13,1,"CC, NS, CM",0.1,ft,in,P4,PIPO,225,35,24.3,71,10.1,L,1.7,NA,G,M,0,cored @ DBH,20231010,CC,3.22053246,32.2053246,D,127.6710498,0.252252368
Salter,20230919,21,5,"CC, CM, NS",0.1,ft,in,943,PIPO,189,18,24.2,90.9,31.4,L,5.7,NA,G,D,0,,20230930,CC,3.19408056,31.9408056,D,138.627045,0.230408183
Salter,20231004,42,PFA,"CC, NS, CP",0.1,ft,in,P5,PIPO,330,18.5,24,98.2,53.7,L,17.8,NA,G,S,0,,20231012,CC,3.141504,31.41504,D,105.7356072,0.297109373
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,P6,PIPO,289,32.5,23.7,76.6,25.1,L,7.2,NA,G,D,0,,20231010,CC,3.06345726,30.6345726,D,132.8501682,0.23059491
Salter,20230918,30,9,"CC, CM, NS",0.1,ft,in,P5,PIPO,74,34,23.6,81.6,32.1,L,28,NA,G,D,0,Cored at dbh,20230927,CC,3.03765984,30.3765984,D,117.0777456,0.259456639
Salter,20230918,33,9,"CC, CM, NS",0.1,ft,in,P3,PIPO,285,21,23.6,76.3,26.3,L,12.2,NA,G,D,1,,20230927,CC,3.03765984,30.3765984,D,85.6692504,0.354579949
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,P5,PIPO,254,29,23.5,76.7,33.6,L,10.1,NA,G,M,0,cored @ DBH,20231010,CC,3.0119715,30.119715,D,109.2965238,0.275577978
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,P2,PIPO,129,29,23.5,90.5,44.6,L,9.3,NA,G,M,0,,20231010,CC,3.0119715,30.119715,D,132.8501682,0.226719434
Salter,20231003,14,1,"CC, NS, CP",0.1,ft,in,P1,PIPO,44,33,23.5,79.4,27.5,L,NA,NA,G,D,0,cored @ DBH,20231003,NS,3.0119715,30.119715,D,105.5970756,0.285232473
Salter,20231004,44,PFA,"CC, NS, CP",0.1,ft,in,126,PIPO,42,17.5,23.5,80.3,19.4,L,5.5,NA,G,D,0,,20231013,CC,3.0119715,30.119715,D,86.9220342,0.346514152
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,P6,PIPO,320,23.5,23.4,72.7,16.8,L,4.9,NA,G,D,0,,20231010,CC,2.98639224,29.8639224,D,115.782966,0.25793019
