Project Name,DateSampled,Year,Plot,Area,Unit,Lon,Lat,BEST Treatment,Treatment,Monitoring Unit,Crew,Surveyors,Plot Notes,Transect Azimuth,Hillslope Aspect,Slope
Lone Pine,20230612,2023,1,Plantation,Plantation 1,-108.702491,37.813138,NO,pre,na,"BA,NS,JL",na,"plot has not been treated, N tree tagged with 1, transect runs north to south",320,320,5
Lone Pine,20230612,2023,2,Plantation,Plantation,-108.702438,37.814021,NO,pre,na,"EM,CC,CM,AC",na,most aspen have some degree of rot,69,69,1
Lone Pine,20230613,2023,3,Plantation,Wolfden,-108.702016,37.813678,NO,pre,na,"JL, NS, BA",na,"plot reestablished, transect N-S",360,44,1
Lone Pine,20230613,2023,4,Plantation,plantation-wolfden,-108.6997,37.815953,NO,pre,na,Bender,na,na,50,50,2
Lone Pine ,20230613,2023,5,Plantation,plantation-wolfden,-108.698623,37.814243,NO,pre,na,Bender,na,na,40,40,2
Lone Pine ,20230613,2023,6,Plantation,Wolfden ,-108.699946,37.814512,NO,pre,na,"JL, NS, BA",na,na,352,352,1
Lone Pine,20230612,2023,7,Plantation,Plantation,-108.700937,37.813322,NO,pre,na,Bender; Beans,na,this ones crazy,360,360,2
Lone Pine,20230613,2023,8,Plantation,Wolfden,-108.701161,37.81485,NO,pre,na,Bender,na,na,10,10,3
Lone Pine ,20230614,2023,91,CT,Wolfden ,-108.7124,37.817638,NO,post,na,Bender; Beans,na,na,358,358,1
Lone Pine ,20230614,2023,92,CT,Wolfden ,-108.712121,37.816292,NO,post,na,Bender; Beans,na,na,360,30,1
Lone Pine ,20230615,2023,95,CT,Wolfden ,-108.712716,37.818818,NO,post,na,Bender; Beans,na,na,360,na,2
Lone Pine,20230615,2023,97,CT,Wolfden,-108.714257,37.2025,NO,post,na,Bender; Beans,na,na,265,na,2
Lone Pine ,20230619,2023,99,Oak Reduction,Wolfden ,-108.7087578,37.816583,NO,post,na,Bender; Beans,na,"Some older stumps from past cuts in area, cones are in early development",20,20,2
Lone Pine,20230619,2023,100,Oak Reduction,Wolfden,-108.709075,37.8182,NO,pre,na,Bender; Beans,na,"plot had to be reestablished slightly south, transeccct is north-south, subtract 9 degrees from all azmiths",360,325,2
Lone Pine ,20230619,2023,101,Oak Reduction,Wolfden ,-108.709494,37.82072,NO,pre,na,Bender; Beans,na,cones in early development,90,90,9
Lone Pine ,20230621,2023,133,Oak Reduction,Glade,-108.6278,37.740598,NO,pre,na,Bender; Beans,na,na,58,na,0
Lone Pine,20230621,2023,135,Oak Reduction,Glade,-108.62543,37.795654,NO,post,na,Bender; Beans,na,na,97,na,7
Lone Pine ,20230622,2023,136,Oak Reduction,Glade,-108.622871,37.794616,NO,post,na,Bender; Beans,na,na,145,145,3
Lone Pine ,20230622,2023,137,Oak Reduction,Glade,-108.6251,37.794084,NO,post,na,Bender; Beans,na,na,326,326,2
